1 1:0.0 2:0.4418604651162792 3:-0.631431941294543
1 1:0.02952755905511828 2:0.3643410852713178 3:-0.5815618878563422
1 1:0.02952755905511828 2:0.3643410852713178 3:-0.5815618878563422
1 1:0.02952755905511828 2:0.3643410852713178 3:-0.5815618878563422
1 1:0.02952755905511828 2:0.3643410852713178 3:-0.5815618878563422
1 1:0.02952755905511828 2:0.3643410852713178 3:-0.5815618878563422
1 1:-0.021653543307086465 2:0.4883720930232558 3:-0.5941663290089869
1 1:0.02952755905511828 2:0.3643410852713178 3:-0.5815618878563422
1 1:0.02952755905511828 2:0.3643410852713178 3:-0.5815618878563422
1 1:0.009842519685039575 2:0.3643410852713178 3:-0.5840330818875863
1 1:0.011811023622047445 2:0.3643410852713178 3:-0.5906520606639085
1 1:0.02559055118110254 2:0.3798449612403101 3:-0.5475551604477817
1 1:0.0059055118110236116 2:0.3643410852713178 3:-0.5525266524113368
1 1:0.02559055118110254 2:0.3798449612403101 3:-0.5475551604477817
1 1:-0.013779527559055205 2:0.4728682170542635 3:-0.5694660268881206
1 1:0.02559055118110254 2:0.3798449612403101 3:-0.5475551604477817
1 1:0.02559055118110254 2:0.3798449612403101 3:-0.5475551604477817
1 1:0.0 2:0.45736434108527124 3:-0.5585529275759163
1 1:0.02559055118110254 2:0.3798449612403101 3:-0.5475551604477817
1 1:0.003937007874015741 2:0.3643410852713178 3:-0.5542365194783305
1 1:0.02559055118110254 2:0.3798449612403101 3:-0.5475551604477817
1 1:0.021653543307086576 2:0.3798449612403101 3:-0.5189462882504081
1 1:0.021653543307086576 2:0.3798449612403101 3:-0.5189462882504081
1 1:0.021653543307086576 2:0.3798449612403101 3:-0.5189462882504081
1 1:0.021653543307086576 2:0.3798449612403101 3:-0.5189462882504081
1 1:0.021653543307086576 2:0.3798449612403101 3:-0.5189462882504081
1 1:0.021653543307086576 2:0.3798449612403101 3:-0.5189462882504081
1 1:0.021653543307086576 2:0.3798449612403101 3:-0.5189462882504081
1 1:0.021653543307086576 2:0.3798449612403101 3:-0.5189462882504081
1 1:0.021653543307086576 2:0.3798449612403101 3:-0.5189462882504081
1 1:0.003937007874015741 2:0.45736434108527124 3:-0.5287837426038231
1 1:0.017716535433070835 2:0.39534883720930236 3:-0.49106951604641536
1 1:0.017716535433070835 2:0.39534883720930236 3:-0.49106951604641536
1 1:0.017716535433070835 2:0.39534883720930236 3:-0.49106951604641536
1 1:0.017716535433070835 2:0.39534883720930236 3:-0.49106951604641536
1 1:0.017716535433070835 2:0.39534883720930236 3:-0.49106951604641536
1 1:0.017716535433070835 2:0.39534883720930236 3:-0.49106951604641536
1 1:0.017716535433070835 2:0.39534883720930236 3:-0.49106951604641536
1 1:0.017716535433070835 2:0.39534883720930236 3:-0.49106951604641536
1 1:0.017716535433070835 2:0.39534883720930236 3:-0.49106951604641536
1 1:0.017716535433070835 2:0.39534883720930236 3:-0.49106951604641536
1 1:0.015748031496062964 2:0.39534883720930236 3:-0.4640294960405009
1 1:0.015748031496062964 2:0.39534883720930236 3:-0.4640294960405009
1 1:0.015748031496062964 2:0.39534883720930236 3:-0.4640294960405009
1 1:0.015748031496062964 2:0.39534883720930236 3:-0.4640294960405009
1 1:0.009842519685039575 2:0.4418604651162792 3:-0.47781640832930383
1 1:0.015748031496062964 2:0.39534883720930236 3:-0.4640294960405009
1 1:0.015748031496062964 2:0.39534883720930236 3:-0.4640294960405009
1 1:0.015748031496062964 2:0.39534883720930236 3:-0.4640294960405009
1 1:0.015748031496062964 2:0.39534883720930236 3:-0.4640294960405009
1 1:0.015748031496062964 2:0.39534883720930236 3:-0.4640294960405009
1 1:0.003937007874015741 2:0.39534883720930236 3:-0.44144818846076017
1 1:0.011811023622047445 2:0.4418604651162792 3:-0.45612430825326533
